amostra,bioma,estrato_florestal,coletor,ephemeroptera,plecoptera,tricoptera
AMZ-E-001,Amazônia,emergente,Marina Costa,14,1,4
AMZ-E-002,Amazônia,emergente,Lucas Lima,11,1,10
AMZ-E-003,Amazônia,emergente,Marina Costa,15,3,9
AMZ-E-004,Amazônia,emergente,Ana Souza,10,3,3
AMZ-E-005,Amazônia,emergente,Ana Souza,10,4,9
AMZ-E-006,Amazônia,emergente,João Silva,8,3,8
AMZ-E-007,Amazônia,emergente,Lucas Lima,4,3,4
AMZ-E-008,Amazônia,emergente,João Silva,15,3,10
AMZ-E-009,Amazônia,emergente,Lucas Lima,5,0,4
AMZ-E-010,Amazônia,emergente,Lucas Lima,8,4,6
AMZ-E-011,Amazônia,emergente,João Silva,6,2,3
AMZ-E-012,Amazônia,emergente,Marina Costa,5,4,5
AMZ-E-013,Amazônia,emergente,Lucas Lima,10,3,8
AMZ-E-014,Amazônia,emergente,Marina Costa,4,0,5
AMZ-E-015,Amazônia,emergente,Ana Souza,16,3,10
AMZ-E-016,Amazônia,emergente,Lucas Lima,14,4,5
AMZ-D-001,Amazônia,dossel,Ana Souza,15,1,3
AMZ-D-002,Amazônia,dossel,Marina Costa,8,1,5
AMZ-D-003,Amazônia,dossel,Lucas Lima,15,0,6
AMZ-D-004,Amazônia,dossel,Ana Souza,5,1,10
AMZ-D-005,Amazônia,dossel,João Silva,5,2,6
AMZ-D-006,Amazônia,dossel,João Silva,8,1,4
AMZ-D-007,Amazônia,dossel,João Silva,12,1,10
AMZ-D-008,Amazônia,dossel,João Silva,10,1,5
AMZ-D-009,Amazônia,dossel,Marina Costa,8,0,4
AMZ-D-010,Amazônia,dossel,Lucas Lima,6,1,7
AMZ-D-011,Amazônia,dossel,João Silva,8,0,3
AMZ-D-012,Amazônia,dossel,Lucas Lima,8,4,5
AMZ-D-013,Amazônia,dossel,Ana Souza,15,2,9
AMZ-D-014,Amazônia,dossel,Lucas Lima,14,4,10
AMZ-D-015,Amazônia,dossel,João Silva,15,0,6
AMZ-D-016,Amazônia,dossel,Lucas Lima,13,0,10
AMZ-S-001,Amazônia,subbosque,Lucas Lima,11,0,10
AMZ-S-002,Amazônia,subbosque,Marina Costa,15,4,10
AMZ-S-003,Amazônia,subbosque,Marina Costa,12,4,9
